video_id,title,channel,published,query_used
9LHCC4TteGU,Trudeau pushes Poilievre to “condemn” right-wing extremist group Diagolon #politics #Canada,Global News,2024-05-01T23:34:59Z,canada far-right policy 2024
7EHVS1Su5Po,"Canada&#39;s Political Shift: Poilievre Rises as Greens, NDP Hesitate – Andrew Weaver, UVIC Professor",Victoria Rumble Room with Robin & John,2024-05-06T16:56:08Z,canada far-right policy 2024
QThBwP2KV3k,PART 3: Atomization &amp; Political Instability | The striking rise of right-wing extremism | Unravelled,TVO Today,2024-06-27T16:00:30Z,canada far-right policy 2024
56w54X-gLig,Liberal MP compares Poilievre to Nazis – again,Juno News,2024-03-27T18:05:25Z,canada far-right policy 2024
3XcN3DCDqFs,"Pierre Poilievre worked to bring American-style, anti-union laws to Canada",Liberal Video,2024-07-22T14:08:34Z,canada far-right policy 2024
dZxvVo1pd0o,Chrystia Freeland Just Called Canadians Far-Right,Canada Freedom,2024-09-24T22:13:58Z,canada far-right policy 2024
_m1FBOIALus,Poilievre kicked out of Parliament for calling Trudeau a “wacko”,Juno News,2024-05-01T17:00:06Z,canada far-right policy 2024
BjQHuBvdyNg,Political Spectrums Explained — Why is there a left wing and right wing?,Mr. Beat,2019-11-22T12:30:01Z,canada far-right policy 2024
QJcG0gGGmT4,Trudeau’s Attack on Poilievre Backfires BIG TIME! The Shocking Debate Everyone’s Talking About,UnCancel America,2024-10-13T19:49:48Z,canada far-right policy 2024
WQwZK-bdtcU,PART 2: Normalization | The striking rise of right-wing extremism | Unravelled,TVO Today,2024-05-23T18:15:08Z,canada far-right policy 2024
3ST_ObaKES4,Canadian election coming in Canada? Will the far right take over the country?,What's Left (Daily News),2024-09-12T00:14:52Z,canada far-right policy 2024
kYr890NO_9I,End of Wacko Policies  Analyzing the Fallout from the Extremist Prime Minister,Canadian News Channel,2024-05-01T04:04:56Z,canada far-right policy 2024
1P8vFUAgpX8,Pierre Poilievre kicked out of the House of Commons | FULL EXCHANGE,Trending Now,2024-04-30T23:33:55Z,canada far-right policy 2024
OUGsJNQ9CjA,Far Right Rise In Europe? - CanadaOne Ep24,CanadaOne,2024-06-20T19:24:27Z,canada far-right policy 2024
ipbIfBM2-SQ,Radical Left-wing activists are turning on Justin Trudeau!,The National Telegraph,2024-11-29T17:27:05Z,canada far-right policy 2024
MpFrVDG-8GQ,Explaining the political chaos in #France and #Canada — #Macron #Trudeau #FrenchElections #EU,GZERO Media,2024-06-25T21:15:31Z,canada far-right policy 2024
bPNKQ7YxTZ4,Trudeau Accuses Poilievre of Watching Far Right Conspiracy Videos!  | 🍁 House of Commons Chaos,GroundedTV,2024-09-21T21:07:00Z,canada far-right policy 2024
QF-_DxL7V8M,Far Left Socialists Toppling All Over The World,The Canadian Shield,2024-06-18T08:23:20Z,canada far-right policy 2024
wjmonmvjGJM,"Blaine Higgs on parental rights, gender identity, and being labelled “far right”",Juno News,2024-04-23T15:24:43Z,canada far-right policy 2024
Ze9NF-OKoIc,Poilievre kicked out of House of Commons after calling Trudeau a &quot;wacko&quot;,CTV News,2024-04-30T19:21:22Z,canada far-right policy 2024
zNvLUzJCKnc,Exposed  The Shocking Truth About a Far Right Politician&#39;s White Nationalist Ties,Canada Wide News,2024-04-30T23:57:07Z,canada far-right policy 2024
jKNJhNg8ykk,Episode #289: Dialogue with David Frum: Young Conservatives and the Far Right,The Hub Canada,2023-08-04T13:15:15Z,canada far-right policy 2024
0h5hOpywp_U,Extremism in the military and police | Unravelled,TVO Today,2024-06-20T16:00:01Z,canada far-right policy 2024
Jn0mjl86WaI,New Canadian ‘centrist’ party accuses rivals of extremism | Front Burner,CBC News,2024-08-21T16:05:35Z,canada far-right policy 2024
JYYJK7Nyr5M,Far-Right on the Rise in Canada,RiceSack,2024-07-18T14:59:26Z,canada far-right policy 2024
0tt3SLDCkUw,Global Collapse Of Far Left Governments Continues,The Canadian Shield,2024-12-29T03:00:20Z,canada far-right policy 2024
V0b0wDiDJMg,In Lay Terms EP 18 - René de Vries,In Lay Terms,2024-02-21T15:50:41Z,canada far-right policy 2024
FnsdqwjSHIQ,"1/200 S2E103 - Canada, Tech and NZ Parallels w/ Paris Marx",1of200,2024-11-10T00:48:02Z,canada far-right policy 2024
D5wC-O95NGI,The Road Ahead - Strategic Response Workshop: Countering Far-Right Tactics - Debbie Owusu-Akyeeah,Parkland Institute,2024-12-16T16:50:27Z,canada far-right policy 2024
IRpXn8a6ykc,Far Right Parties in Canada,RiceSack,2024-09-26T17:30:25Z,canada far-right policy 2024
VrbhhRRB7Dk,"UK, Canada and Western allies sanction two far right Israeli government ministers",UTWE TV,2025-06-10T23:31:53Z,canada far-right policy 2024
6ityOHS9Jwo,"Trudeau&#39;s Criminal Canada, Catholics Labeled &#39;Far-right,&#39; and Mass Migration | Blendr Report EP67",Blendr News,2024-08-17T21:05:28Z,canada far-right policy 2024
vphCAJ3Z_Zc,Women and White Nationalism (Part 2),Canadian Women's Foundation,2024-01-02T17:49:11Z,canada far-right policy 2024
rkuNHsDU-IA,Canada announces $235 million to Ukraine | CTV News Toronto at Noon for Dec. 3 2025,CP24,2025-12-03T22:14:47Z,canada far-right policy 2024
wgRWjgbqZbU,CNN News18 Exclusive On K-Terrorist Funding Canadian Govt. | #therightstand With Anand Narasimhan,CNN-News18,2024-12-18T14:26:36Z,canada far-right policy 2024
